,bcc FeNi Peak 0 Intensity,extrapeak Peak 0 Intensity,bcc FeNi Peak Width,extrapeak Peak Width,bcc FeNi Peak Shape,extrapeak Peak Shape,bcc FeNi a,extrapeak a,Background 0,Background 1,Background 2
bcc FeNi Peak 0 Intensity,11.897764536309866,-0.33419547432920055,-0.009841401099439198,0.00028312535157085734,-1.3084569346979753,0.19112438950764815,3.769382710296886e-09,2.4145181406407935e-05,-123.90790887736681,10.123863043626297,-0.20600874029062252
extrapeak Peak 0 Intensity,-0.3341954743291999,7.651968380607492,0.00018885019619312675,-0.06659350064345791,0.0357149658525816,-4.886325721296181,9.026249847619319e-07,-8.1598669681022e-06,-11.548643583565635,1.076786398884048,-0.024373000027006594
bcc FeNi Peak Width,-0.009841401099439198,0.00018885019619312605,9.558263535458076e-06,1.7762636612804147e-06,0.0010906326964388142,-9.235018480628657e-05,4.21557245198624e-10,-3.7535534714407853e-08,0.1578646827884429,-0.01290610481413317,0.00026286398265222804
extrapeak Peak Width,0.00028312535157085734,-0.06659350064345793,1.776263661280415e-06,0.0007008882565495629,-9.998312613358085e-06,0.04314584364381587,-2.5625345940731964e-09,2.0800681036515814e-07,0.008321551612959001,-0.002910089231592012,0.00010031222250462858
bcc FeNi Peak Shape,-1.308456934697975,0.03571496585258151,0.0010906326964388142,-9.998312613358089e-06,0.1439768490117165,-0.02026131763931771,2.4578722874017624e-09,-2.8303366401798668e-06,14.165857745958132,-1.157498537767217,0.023556225717158066
extrapeak Peak Shape,0.1911243895076478,-4.886325721296181,-9.235018480628622e-05,0.04314584364381587,-0.020261317639317707,3.1247416745925634,-5.329918244471842e-07,6.224472182780039e-06,6.724810087607367,-0.6425527680012587,0.014795101627203454
bcc FeNi a,3.769382710296969e-09,9.026249847619322e-07,4.21557245198624e-10,-2.5625345940731964e-09,2.457872287401752e-09,-5.329918244471842e-07,1.6439050203566353e-09,6.5960797029576785e-12,7.075328417824751e-05,-6.0296403432635824e-06,1.2795653660176704e-07
extrapeak a,2.4145181406407935e-05,-8.159866968102202e-06,-3.753553471440784e-08,2.0800681036515814e-07,-2.8303366401798663e-06,6.224472182780039e-06,6.596079702957674e-12,1.3730651316119313e-07,-0.006454203370542995,0.0005228741396879285,-1.0574944771154905e-05
Background 0,-123.90790887736681,-11.548643583565637,0.1578646827884429,0.008321551612959,14.165857745958133,6.724810087607366,7.075328417824751e-05,-0.006454203370542995,18331.354003855533,-1495.0972999849648,30.434764727347677
Background 1,10.123863043626296,1.076786398884048,-0.012906104814133167,-0.002910089231592012,-1.157498537767217,-0.6425527680012586,-6.0296403432635824e-06,0.0005228741396879285,-1495.0972999849646,121.97736433892068,-2.483759168899189
Background 2,-0.20600874029062252,-0.024373000027006597,0.00026286398265222804,0.00010031222250462861,0.023556225717158066,0.014795101627203454,1.2795653660176706e-07,-1.0574944771154905e-05,30.434764727347677,-2.483759168899189,0.05059007344027924
