,hcp FeNiSi Peak 0 Intensity,hcp FeNiSi Peak 1 Intensity,hcp FeNiSi Peak 2 Intensity,extrapeak Peak 0 Intensity,hcp FeNiSi Peak Width,extrapeak Peak Width,hcp FeNiSi Peak Shape,extrapeak Peak Shape,hcp FeNiSi a,hcp FeNiSi c,extrapeak a,Background 0,Background 1,Background 2
hcp FeNiSi Peak 0 Intensity,0.2450750671899309,0.03424776263686248,0.34733885030092554,0.05879372465890298,-0.0012566880090613987,-0.0007930262968894931,-0.0024504796737140917,-0.0005197605997037733,4.107350432784743e-05,-0.00014726430997155223,6.859103230491542e-05,1.1757878566278512,-0.10243748243503653,0.002229088756386705
hcp FeNiSi Peak 1 Intensity,0.03424776263686249,0.06959341483870385,0.06187728259327957,-0.005777070808555439,-9.287046758106282e-06,-4.388894882539365e-05,-0.0003358123110196578,-3.2975405136272636e-06,8.07169553820937e-07,4.179926030317999e-06,5.43772748213454e-06,1.3411320208065256,-0.1055999369323998,0.00205161545638689
hcp FeNiSi Peak 2 Intensity,0.34733885030092554,0.06187728259327957,0.7876691282578637,-0.05000554918490225,-0.0026055187717051935,-0.0002894301773297997,-0.0050526358835719706,1.6378992945631033e-05,3.52599042017025e-05,-0.00014851585357471026,8.02690376389012e-05,-0.15302892846471614,0.00631912395524465,4.895784760796123e-05
extrapeak Peak 0 Intensity,0.05879372465890298,-0.005777070808555439,-0.05000554918490224,3.89709720428066,0.0002537437987865461,-0.009831446256326556,0.0003638173173132251,-0.016809406894321817,6.948155213331919e-05,-0.000314277874193126,2.9849137441024807e-05,-0.07621977322326014,0.011442355754823899,-0.00033126635768363665
hcp FeNiSi Peak Width,-0.0012566880090613987,-9.287046758106282e-06,-0.002605518771705194,0.0002537437987865461,1.547822931327356e-05,-1.253918751996471e-06,1.8514158097327685e-05,-1.4037651140785976e-06,-3.6639911317263335e-08,-1.0931454210217228e-07,-3.7773737251920323e-07,-0.003864858224765762,0.0003984489097733683,-1.0187317648553505e-05
extrapeak Peak Width,-0.0007930262968894932,-4.388894882539363e-05,-0.00028943017732979974,-0.009831446256326556,-1.2539187519964715e-06,4.702606687526495e-05,1.9304145375807053e-06,4.190833037771681e-05,-9.387187526448054e-07,4.205689192261293e-06,-3.224233969815996e-07,0.0022413433723802605,-0.00021924252930606924,5.146460193043789e-06
hcp FeNiSi Peak Shape,-0.0024504796737140917,-0.0003358123110196578,-0.0050526358835719706,0.0003638173173132251,1.8514158097327685e-05,1.9304145375807045e-06,3.570643428586274e-05,-1.984760419387783e-07,-2.4945903740367225e-07,8.796159367358036e-07,-5.696096189543581e-07,-0.00334322811811992,0.00034928047485475983,-9.091769434954287e-06
extrapeak Peak Shape,-0.0005197605997037733,-3.29754051362726e-06,1.6378992945631003e-05,-0.016809406894321817,-1.4037651140785973e-06,4.190833037771681e-05,-1.984760419387783e-07,8.06598302679274e-05,-6.062981481692594e-07,2.7338194295951326e-06,-2.2401616635251934e-07,0.0013618000185187439,-0.00014460330017638173,3.5730934373426303e-06
hcp FeNiSi a,4.1073504327847426e-05,8.07169553820937e-07,3.52599042017025e-05,6.948155213331919e-05,-3.663991131726329e-08,-9.387187526448055e-07,-2.4945903740367225e-07,-6.062981481692594e-07,1.3707565868972525e-07,-6.030996515566129e-07,2.4057632950076594e-08,-0.00047287109566335965,3.8709580441417666e-05,-7.847820807492976e-07
hcp FeNiSi c,-0.0001472643099715522,4.179926030317997e-06,-0.00014851585357471029,-0.00031427787419312605,-1.0931454210217245e-07,4.205689192261293e-06,8.796159367358037e-07,2.7338194295951326e-06,-6.030996515566129e-07,3.7254172252297997e-06,-9.476993479117108e-08,0.005637177734496536,-0.00046361844803393374,9.473300702114239e-06
extrapeak a,6.859103230491542e-05,5.43772748213454e-06,8.02690376389012e-05,2.9849137441024807e-05,-3.7773737251920323e-07,-3.224233969815996e-07,-5.69609618954358e-07,-2.2401616635251932e-07,2.4057632950076594e-08,-9.47699347911711e-08,3.3859467964810895e-07,0.00021944429741397125,-2.0628557093590165e-05,4.794767261679442e-07
Background 0,1.1757878566278512,1.3411320208065256,-0.15302892846471616,-0.07621977322326014,-0.003864858224765762,0.002241343372380261,-0.00334322811811992,0.0013618000185187439,-0.00047287109566335965,0.005637177734496536,0.00021944429741397125,268.7223969896873,-21.66148474810892,0.43425742219075375
Background 1,-0.10243748243503653,-0.10559993693239979,0.006319123955244652,0.011442355754823899,0.00039844890977336827,-0.00021924252930606924,0.00034928047485475983,-0.0001446033001763817,3.8709580441417666e-05,-0.0004636184480339337,-2.0628557093590165e-05,-21.661484748108915,1.7486007277964404,-0.03510705257712828
Background 2,0.002229088756386705,0.00205161545638689,4.895784760796128e-05,-0.00033126635768363665,-1.0187317648553503e-05,5.14646019304379e-06,-9.091769434954287e-06,3.5730934373426303e-06,-7.847820807492974e-07,9.473300702114237e-06,4.794767261679442e-07,0.4342574221907537,-0.03510705257712828,0.0007059701637043581
