,hcp FeNiSi Peak 0 Intensity,hcp FeNiSi Peak 1 Intensity,hcp FeNiSi Peak 2 Intensity,extrapeak Peak 0 Intensity,hcp FeNiSi Peak Width,extrapeak Peak Width,hcp FeNiSi Peak Shape,extrapeak Peak Shape,hcp FeNiSi a,hcp FeNiSi c,extrapeak a,Background 0,Background 1,Background 2,Background 3
hcp FeNiSi Peak 0 Intensity,0.6334203193064974,-0.044343212603804964,0.7023020291267484,0.18484545119350113,-0.002336116587122338,-0.0009245920735605453,-0.0044622959872828594,-0.0006580945691774449,5.366613753976432e-05,-0.0003068591396377369,0.00016472490832131626,62.381056156427626,-7.485871986921596,0.29806165392466816,-0.003936441504461545
hcp FeNiSi Peak 1 Intensity,-0.044343212603804964,0.14349558098612525,-0.030700153208202404,-0.006699841698655051,0.0005328643211554057,-0.00019938794516417656,0.0004134219080082458,-0.00011018725426021403,1.0455857374605352e-05,-1.2337740026480012e-05,-5.4030350891835405e-06,-42.30485018937491,5.174570120766581,-0.21001947077100422,0.002826954573549424
hcp FeNiSi Peak 2 Intensity,0.7023020291267484,-0.030700153208202404,1.204593690245497,0.12657683124130908,-0.0034586353962646637,-0.0005095436176730407,-0.006605265227595464,-0.0002519290765920009,2.0428943953100345e-05,-0.00011049694410011066,0.00014135664055659603,-16.82530971826911,1.9566097788278567,-0.07546669191929944,0.0009677399244970964
extrapeak Peak 0 Intensity,0.1848454511935011,-0.006699841698655049,0.12657683124130908,4.487008282585796,-0.0003870165234734809,-0.011145126760256169,-0.0006647852763475047,-0.01847057562432171,0.0001351399264435639,-0.000732509742806285,9.488877734557752e-05,-35.258610939481116,4.218120525100717,-0.16729390230296928,0.0022009518647374427
hcp FeNiSi Peak Width,-0.002336116587122338,0.0005328643211554057,-0.0034586353962646637,-0.000387016523473481,1.9466418100554608e-05,-5.194988104724251e-06,2.0771181394410118e-05,-2.825205316720904e-06,5.033749388460277e-07,-2.584231788184628e-06,-2.748360773755812e-07,-0.36255818031606,0.043926352945608885,-0.0017655356176617865,2.3524751187010934e-05
extrapeak Peak Width,-0.000924592073560545,-0.00019938794516417656,-0.0005095436176730409,-0.011145126760256169,-5.19498810472425e-06,5.9341682004226734e-05,2.481189293128128e-06,4.942034529195792e-05,-2.3908255674506602e-06,1.2921070403941829e-05,-1.0329206038404508e-06,0.6395201505863545,-0.07653894340440817,0.0030388171250849776,-4.002906388228178e-05
hcp FeNiSi Peak Shape,-0.0044622959872828594,0.0004134219080082458,-0.006605265227595465,-0.0006647852763475047,2.0771181394410118e-05,2.481189293128128e-06,4.1146453706381786e-05,9.32143809437237e-07,-1.3036048927691713e-07,8.110084180301235e-07,-9.210064019362339e-07,-0.1913951574948975,0.023390154185954387,-0.000947977133008899,1.2723974757942814e-05
extrapeak Peak Shape,-0.0006580945691774449,-0.00011018725426021403,-0.0002519290765920009,-0.01847057562432171,-2.8252053167209045e-06,4.942034529195792e-05,9.32143809437237e-07,8.663614547534049e-05,-1.4250636291711134e-06,7.693680142587316e-06,-6.584883942685732e-07,0.42217448945321456,-0.050560709386719443,0.0020084341936161,-2.646717045200692e-05
hcp FeNiSi a,5.366613753976432e-05,1.0455857374605354e-05,2.0428943953100355e-05,0.0001351399264435639,5.033749388460277e-07,-2.39082556745066e-06,-1.3036048927691716e-07,-1.4250636291711134e-06,3.4339019390770287e-07,-1.872758003681929e-06,1.1973346022667748e-07,-0.044007535999526025,0.005237753478342357,-0.00020684050539385195,2.7104488423578836e-06
hcp FeNiSi c,-0.0003068591396377369,-1.2337740026480005e-05,-0.00011049694410011062,-0.0007325097428062851,-2.5842317881846285e-06,1.292107040394183e-05,8.110084180301235e-07,7.693680142587316e-06,-1.8727580036819292e-06,1.2708861537834884e-05,-6.57284461347188e-07,0.19164255424531057,-0.02263820552187116,0.0008868085140110118,-1.1521844788130922e-05
extrapeak a,0.00016472490832131626,-5.4030350891835405e-06,0.00014135664055659603,9.488877734557752e-05,-2.748360773755811e-07,-1.0329206038404508e-06,-9.210064019362338e-07,-6.584883942685732e-07,1.1973346022667748e-07,-6.572844613471879e-07,4.0279027742079635e-07,0.003437861471805933,-0.00042723484800298106,1.7573271470421157e-05,-2.390991471336687e-07
Background 0,62.38105615642763,-42.30485018937491,-16.82530971826911,-35.258610939481116,-0.36255818031606,0.6395201505863545,-0.1913951574948975,0.42217448945321456,-0.04400753599952601,0.19164255424531057,0.0034378614718059333,104189.18015292865,-12474.645540002595,495.93014182294746,-6.546254441043949
Background 1,-7.485871986921596,5.174570120766581,1.9566097788278567,4.218120525100717,0.043926352945608885,-0.07653894340440817,0.023390154185954387,-0.050560709386719443,0.0052377534783423566,-0.02263820552187116,-0.00042723484800298106,-12474.645540002595,1494.0868678940808,-59.416747886357115,0.7845476208724282
Background 2,0.29806165392466816,-0.21001947077100422,-0.07546669191929944,-0.16729390230296928,-0.0017655356176617865,0.003038817125084977,-0.000947977133008899,0.0020084341936160996,-0.0002068405053938519,0.0008868085140110117,1.7573271470421154e-05,495.9301418229474,-59.41674788635711,2.3636433548904074,-0.031219814360276814
Background 3,-0.003936441504461544,0.002826954573549424,0.0009677399244970964,0.0022009518647374427,2.352475118701093e-05,-4.002906388228178e-05,1.2723974757942812e-05,-2.646717045200692e-05,2.710448842357883e-06,-1.1521844788130922e-05,-2.390991471336687e-07,-6.546254441043947,0.7845476208724281,-0.031219814360276814,0.0004124916223853749
