Date,Index,fLM,dfLM,KE,dKE,MFC,dMFC
Oct 2009,Fe_Murphy_P7,0.9024,0.0011,15.6663,0.1532,388.7308,10.1327
Oct 2009,Fe_Murphy_P8,0.9063,0.0012,15.6709,0.1459,403.9452,7.9325
Oct 2009,Fe_Murphy_P9,0.9094,0.0016,16.1518,0.1843,411.6488,9.8773
Oct 2009,Fe_Murphy_P1,0.8558,0.0018,14.6248,0.1285,232.1378,6.792
Oct 2009,Fe_Murphy_P2,0.8587,0.0038,14.8572,0.2571,233.0861,12.5968
Oct 2009,Fe_Murphy_P3,0.8747,0.0027,14.9496,0.2163,283.2592,10.8908
Oct 2009,Fe_Murphy_P4,0.8855,0.002,15.0295,0.1765,313.1672,9.296
Oct 2009,Fe_Murphy_P5,0.889,0.0012,15.1914,0.1146,322.2796,5.8109
Oct 2009,Fe_Murphy_P6,0.8957,0.0012,15.4267,0.1399,332.35,8.1381
Aug 2010,Fe_Murphy_P10,0.9154,0.0015,15.8528,0.1896,442.116,10.7994
Feb 2011,Fe_Murphy_P11,0.921,0.002,16.2243,0.2712,488.8881,15.9212
Mar 2015,Fe_Ambient,0.7885,0.0026,14.1539,0.0999,172.7292,4.605
