Folder,Index,Prob Amp,dmu,dvD,dvP,dvS,dvphi,mu,vD,vP,vS,vphi
2009Oct_106GPa,Fe_Murphy_P7,8.53,3.26,28.0,25.0,29.0,19.0,246.31,5210.0,9134.0,4652.0,7387.0
2009Oct_121GPa,Fe_Murphy_P8,6.18,4.39,39.0,29.0,39.0,15.0,266.5,5358.0,9417.0,4785.0,7626.0
2009Oct_133GPa,Fe_Murphy_P9,4.19,8.21,76.0,50.0,72.0,17.0,274.81,5397.0,9584.0,4818.0,7804.0
2009Oct_30GPa,Fe_Murphy_P1,2.49,4.25,64.0,45.0,55.0,25.0,151.0,4421.0,7309.0,3964.0,5698.0
2009Oct_53GPa,Fe_Murphy_P3,4.54,3.5,44.0,31.0,41.0,13.0,173.9,4609.0,7919.0,4119.0,6332.0
2009Oct_69GPa,Fe_Murphy_P4,4.11,4.68,54.0,36.0,51.0,8.0,198.09,4832.0,8345.0,4317.0,6692.0
2009Oct_77GPa,Fe_Murphy_P5,9.75,1.98,21.0,16.0,20.0,10.0,209.99,4937.0,8531.0,4410.0,6845.0
2009Oct_90GPa,Fe_Murphy_P6,8.11,2.79,29.0,20.0,27.0,10.0,232.51,5132.0,8859.0,4585.0,7103.0
2010Aug_151GPa,Fe_Murphy_P10,9.06,3.74,28.0,26.0,30.0,21.0,298.2,5557.0,9878.0,4958.0,8050.0
2011Feb_171GPa,Fe_Murphy_P11,5.2,7.63,68.0,44.0,60.0,24.0,319.58,5681.0,10168.0,5071.0,8313.0
2015Mar_Ambient,Fe_Ambient,3.89,1.28,27.0,89.0,26.0,114.0,77.88,3471.0,5810.0,3108.0,4566.0
