Folder,Index,Phase,P,dP,V,dV,rho,drho,KT,dKT,KS,dKS,vphi,dvphi
2013Nov_DAC14_P1,FeNiSi_DAC14_P1,bcc,7.08,0.07,22.456,0.024,8.021,0.009,194.4,2.1,194.4,2.1,4923.0,27.0
2014Feb_DAC13_P1,FeNiSi_DAC13_P1,hcp,27.89,0.25,19.901,0.034,9.05,0.016,281.2,2.4,284.3,2.5,5605.0,25.0
2014Feb_DAC13_P2,FeNiSi_DAC13_P2,hcp,37.13,0.63,19.305,0.046,9.329,0.022,327.4,1.9,330.4,2.0,5951.0,19.0
2014Feb_DAC15_P1,FeNiSi_DAC15_P1,bcc,6.48,0.11,22.526,0.034,7.995,0.012,191.2,2.0,191.2,2.0,4890.0,26.0
2015Mar_Ambient,FeNiSi_Ambient,bcc,0.0,0.0,23.378,0.027,7.704,0.009,155.6,7.5,155.6,7.5,4494.0,108.0
2015Mar_DAC13_P3,FeNiSi_DAC13_P3,hcp,40.97,0.99,19.087,0.055,9.436,0.027,346.6,1.7,349.5,1.8,6086.0,18.0
2015Mar_DAC13_P4,FeNiSi_DAC13_P4,hcp,54.92,1.09,18.397,0.046,9.79,0.025,413.1,1.2,415.8,1.2,6517.0,13.0
2015Mar_DAC13_P5,FeNiSi_DAC13_P5,hcp,68.87,0.9,17.829,0.035,10.102,0.02,477.8,1.0,480.4,1.1,6896.0,10.0
2015Mar_DAC13_P6,FeNiSi_DAC13_P6,hcp,85.61,3.54,17.258,0.059,10.436,0.036,552.8,1.5,555.3,1.6,7295.0,16.0
