Folder,Index,Prob Amp,dvD,dvP,dvS,dvphi,vD,vP,vS,vphi
2013Nov_DAC14_P1,FeNiSi_DAC14_P1,9.13,25.0,27.0,23.0,27.0,3240.0,5943.0,2884.0,4923.0
2014Feb_DAC13_P1,FeNiSi_DAC13_P1,2.33,112.0,39.0,58.0,25.0,3932.0,6905.0,3492.0,5605.0
2014Feb_DAC13_P2,FeNiSi_DAC13_P2,3.17,91.0,39.0,51.0,19.0,4122.0,7279.0,3629.0,5951.0
2014Feb_DAC15_P1,FeNiSi_DAC15_P1,4.45,58.0,41.0,54.0,26.0,3205.0,5895.0,2852.0,4890.0
2015Mar_Ambient,FeNiSi_Ambient,6.45,23.0,87.0,21.0,108.0,3189.0,5568.0,2847.0,4494.0
2015Mar_DAC13_P3,FeNiSi_DAC13_P3,2.93,105.0,54.0,75.0,18.0,4278.0,7496.0,3789.0,6086.0
2015Mar_DAC13_P4,FeNiSi_DAC13_P4,3.48,94.0,57.0,85.0,13.0,4330.0,7892.0,3854.0,6517.0
2015Mar_DAC13_P5,FeNiSi_DAC13_P5,4.07,82.0,49.0,74.0,10.0,4524.0,8317.0,4026.0,6896.0
2015Mar_DAC13_P6,FeNiSi_DAC13_P6,3.82,138.0,79.0,125.0,16.0,4592.0,8688.0,4084.0,7295.0
