,P,dP,rho_nat,drho_nat,vD_nat,dvD_nat,vP_nat,dvP_nat,vS_nat,dvS_nat
0,30,2,9.42,0.03,4.46,0.06,7.38,0.05,4.0,0.06
1,53,2,10.05,0.01,4.65,0.04,8.0,0.03,4.16,0.04
2,69,3,10.43,0.01,4.88,0.05,8.43,0.04,4.36,0.05
3,77,3,10.59,0.02,4.99,0.02,8.61,0.02,4.45,0.02
4,90,3,10.85,0.02,5.18,0.03,8.95,0.02,4.63,0.03
5,106,3,11.16,0.05,5.26,0.03,9.22,0.03,4.7,0.03
6,121,3,11.42,0.02,5.41,0.04,9.51,0.03,4.83,0.04
7,133,4,11.61,0.02,5.45,0.08,9.68,0.05,4.87,0.07
8,151,5,11.9,0.03,5.61,0.03,9.97,0.03,5.01,0.03
9,171,5,12.19,0.03,5.74,0.07,10.27,0.04,5.12,0.06
